Company Name | CEO name ,Google Reviews ,State ,Phone Number,Reach Out Response ,Last Reach Out ,Next Reach Out,Owners Name,Amount of Calls,Who called ,Email ,,Total dialed,Intro meeting rate,Calls made by Leonard,Calls made by Tommaso,Calls made by John,Calls made by Sunzim,Calls made by Daniel,Calls made by Ellison 
"Apex Overhead Door, Corp.",29,PA,12159422739,Not called ,,14,,,,,,,,,,,,,
JT Overhead Doors,29,MI,15172635627,Not called ,,14,,,,,,,,,,,,,
J & J Commercial Windows & Doors LLC.,29,MI,13135647110,Not called ,,14,,,,,,,,,,,,,
Jelly's Garage Doors,28,PA,14126533667,Not called ,,14,,,,,,,,,,,,,
Diamond Door Inc,28,PA,13308981114,Not called ,,14,,,,,,,,,,,,,
Mid-State Door & Opener Co.,28,WI,16083729681,Not called ,,14,,,,,,,,,,,,,
"A+ Doors, LLC",28,WI,17158833385,Not called ,,14,,,,,,,,,,,,,
Heartland Exteriors & Garage Doors,28,WI,17159482214,Not called ,,14,,,,,,,,,,,,,
Installation Specialties Services LLC,28,MI,12314393667,Not called ,,14,,,,,,,,,,,,,
AAI Garage Doors,28,MN,19524659409,Not called ,,14,,,,,,,,,,,,,
"Raynor Garage Doors of Johnstown, LLC",27,PA,18145399711,Not called ,,14,,,,,,,,,,,,,
Driftless Garage Doors,27,WI,16087903890,Not called ,,14,,,,,,,,,,,,,
LaForce,27,WI,18002368858,Not called ,,14,,,,,,,,,,,,,
Mac’s windows and doors,27,MI,19897933301,Not called ,,14,,,,,,,,,,,,,
Grand Rapids Door,27,MI,16164664826,Not called ,,14,,,,,,,,,,,,,
Baker Door Company,26,PA,17173563038,Not called ,,14,,,,,,,,,,,,,
Exterior Doors & Windows,26,PA,17176679692,Not called ,,14,,,,,,,,,,,,,
Penn Central Door,26,PA,18143717358,Not called ,,14,,,,,,,,,,,,,
Twin Tiers Overhead Doors Inc,26,PA,17163720705,Not called ,,14,,,,,,,,,,,,,
HC Quality Doors,26,PA,17177687038,Not called ,,14,,,,,,,,,,,,,
GDK Doors,26,PA,13307744982,Not called ,,14,,,,,,,,,,,,,
Baker's Garage Doors Inc,26,PA,16076875126,Not called ,,14,,,,,,,,,,,,,
"Great Lakes Door, LLC",26,WI,12187223667,Not called ,,14,,,,,,,,,,,,,
Raynor Overhead Door Corp,26,MI,17344250295,Not called ,,14,,,,,,,,,,,,,
Central PA Dock & Door LLC,25,PA,17172481397,Not called ,,14,,,,,,,,,,,,,
Emergency Door Services,25,PA,14122794347,Not called ,,14,,,,,,,,,,,,,
Overhead Door Co. of Lycoming County,25,PA,15703267337,Not called ,,14,,,,,,,,,,,,,
Northern Door & Hardware Inc,25,WI,12187229531,Not called ,,14,,,,,,,,,,,,,
Cornwell Door Service,24,PA,17172739841,Not called ,,14,,,,,,,,,,,,,
C.W. Garage Doors,24,PA,17249866730,Not called ,,14,,,,,,,,,,,,,
Hershey Door Services Inc,24,PA,17173676822,Not called ,,14,,,,,,,,,,,,,
Professional Overhead Door,24,MI,16163614477,Not called ,,14,,,,,,,,,,,,,
KJK Overhead Door LLC.,23,PA,19089965000,Not called ,,14,,,,,,,,,,,,,
Overhead Door Company of Jackson,23,MI,15177843328,Not called ,,14,,,,,,,,,,,,,
Window & Door Store of Jackson,23,MI,15177644337,Not called ,,14,,,,,,,,,,,,,
Overhead Door Company of Marquette,23,MI,19062266516,Not called ,,14,,,,,,,,,,,,,
Lynn Overhead Door,22,PA,15706961757,Not called ,,14,,,,,,,,,,,,,
CornellCookson LLC,22,PA,18002338366,Not called ,,14,,,,,,,,,,,,,
Wolverine Door Service,22,MI,19062493179,Not called ,,14,,,,,,,,,,,,,
AOA Window & Door,22,MI,16162268742,Not called ,,14,,,,,,,,,,,,,
M & S Commercial Windows LLC,22,MI,13136516825,Not called ,,14,,,,,,,,,,,,,
Flecks Garage Door LLC,22,MN,16125017309,Not called ,,14,,,,,,,,,,,,,
Electric Garage Door Sales,21,PA,(724) 774-3200,Not called ,,14,,,,,,,,,,,,,
El's Door Sales,21,PA,17176879081,Not called ,,14,,,,,,,,,,,,,
Miller Overhead Door,21,PA,18148383874,Not called ,,14,,,,,,,,,,,,,
Wilson Brothers Garage Door Repair,21,PA,17242008999,Not called ,,14,,,,,,,,,,,,,
Deluxe Door Co,21,PA,17406334063,Not called ,,14,,,,,,,,,,,,,
Builders' Hardware and Specialty Company,20,PA,18144554799,Not called ,,14,,,,,,,,,,,,,
"Evans Garage Doors, LLC",20,PA,17248462126,Not called ,,14,,,,,,,,,,,,,
Kotch's Windows-N-More,20,MI,18102296856,Not called ,,14,,,,,,,,,,,,,
Scray Enterprises,20,WI,19204942029,Not called ,,14,,,,,,,,,,,,,
Garage Doors and More LLC,20,MI,12692073448,Not called ,,14,,,,,,,,,,,,,
"Professional Door & Lock Services, Inc.",20,MI,13132553255,Not called ,,14,,,,,,,,,,,,,
Monterey Door,19,PA,17176560513,Not called ,,14,,,,,,,,,,,,,
Snyder Installations,19,PA,17247971909,Not called ,,14,,,,,,,,,,,,,
Firehouse Doors,19,MI,18105997480,Not called ,,14,,,,,,,,,,,,,
The H Window Company,19,WI,18008434929,Not called ,,14,,,,,,,,,,,,,
Door Store & Supplies Inc,18,PA,17175309175,Not called ,,14,,,,,,,,,,,,,
Wayne Door Sales Inc.,18,PA,17406505312,Not called ,,14,,,,,,,,,,,,,
Forgatch Overhead Doors,18,PA,18456052039,Not called ,,14,,,,,,,,,,,,,
"DZ Garage Doors, LLC",18,PA,18455543667,Not called ,,14,,,,,,,,,,,,,
Michigan Door,18,MI,15172230207,Not called ,,14,,,,,,,,,,,,,
Security Lock & Alarm,18,MI,18102275153,Not called ,,14,,,,,,,,,,,,,
Door County Overhead Door,18,WI,19207460377,Not called ,,14,,,,,,,,,,,,,
Allen Overhead Doors Sales & Services,18,WI,16085244786,Not called ,,14,,,,,,,,,,,,,
West Michigan Garage Doors,18,MI,12696737142,Not called ,,14,,,,,,,,,,,,,
Roseto - Suter Overhead Door,17,PA,18148982424,Not called ,,14,,,,,,,,,,,,,
Johnson Door Co,17,PA,17242226650,Not called ,,14,,,,,,,,,,,,,
Creekside Overhead Doors,17,PA,18142278624,Not called ,,14,,,,,,,,,,,,,
R E Gouker Garage Doors,17,PA,17244384554,Not called ,,14,,,,,,,,,,,,,
Dan's Door Service,17,WI,19206224119,Not called ,,14,,,,,,,,,,,,,
Precision Garage Door Service of Green Bay,17,WI,19206595086,Not called ,,14,,,,,,,,,,,,,
"Specialty Door Systems II, Inc.",17,WI,19207359737,Not called ,,14,,,,,,,,,,,,,
Garage,17,WI,16086044581,Not called ,,14,,,,,,,,,,,,,
A+ Garage Door,17,MI,18107203360,Not called ,,14,,,,,,,,,,,,,
Architectural Openings & Access,17,MI,16163636854,Not called ,,14,,,,,,,,,,,,,
River Valley Garage Door,17,MN,16127495011,Not called ,,14,,,,,,,,,,,,,
Walnutportdoor,16,PA,610-767-4268,Not called ,,14,,,,,,,,,,,,,
Capitol Door & Hardware Co,16,PA,17177747440,Not called ,,14,,,,,,,,,,,,,
D & D Overhead Door Co Inc,16,PA,17176325337,Not called ,,14,,,,,,,,,,,,,
Moreau Garage Door Sales & Service,16,PA,17243496141,Not called ,,14,,,,,,,,,,,,,
Complete Door & Access,16,PA,17176251777,Not called ,,14,,,,,,,,,,,,,
Northeast Ohio Overhead Door,16,PA,14405946371,Not called ,,14,,,,,,,,,,,,,
Warren Overhead Door,16,PA,18147233735,Not called ,,14,,,,,,,,,,,,,
Wayne Door Tech & Security,16,PA,13305727896,Not called ,,14,,,,,,,,,,,,,
Cedar Glass & Door LLC,16,WI,17152344252,Not called ,,14,,,,,,,,,,,,,
Fisher Door And Hardware,16,MI,16162492200,Not called ,,14,,,,,,,,,,,,,
S A Morman & Co,16,MI,12693830500,Not called ,,14,,,,,,,,,,,,,
"Annick Building Services, LLC",16,MI,12693593256,Not called ,,14,,,,,,,,,,,,,
A1 Glass Experts Inc,16,MI,13136631667,Not called ,,14,,,,,,,,,,,,,
Cumberland Garage Doors,15,PA,17175308080,Not called ,,14,,,,,,,,,,,,,
Door & Gate USA,15,PA,18885056962,Not called ,,14,,,,,,,,,,,,,
Cumberland Garage Doors (124270),15,PA,17175308080,Not called ,,14,,,,,,,,,,,,,
Doors By Ike,14,PA,(724) 775-7631,Not called ,,14,,,,,,,,,,,,,
Besdoors Inc. Bethel Park Garage Door and Openers,14,PA,14128543395,Not called ,,14,,,,,,,,,,,,,
"Action Door & Property Services, LLC",14,PA,17172250682,Not called ,,14,,,,,,,,,,,,,
Tri-County Overhead Door and Gate,14,PA,16104953667,Not called ,,14,,,,,,,,,,,,,
"Thermal-Gard Building Products, Inc.",14,PA,18149381408,Not called ,,14,,,,,,,,,,,,,
Door Store,14,WI,17154216421,Not called ,,14,,,,,,,,,,,,,
Arcadia Garage Door Company LLC,14,MI,12693776089,Not called ,,14,,,,,,,,,,,,,
ADoorable Entry Doors,14,MI,12694001848,Not called ,,14,,,,,,,,,,,,,
Thomas & Maxson Inc,14,MI,12699637372,Not called ,,14,,,,,,,,,,,,,
Motor City Door Company,14,MI,15867261100,Not called ,,14,,,,,,,,,,,,,
Cornwell Door Service,13,PA,17177248113,Not called ,,14,,,,,,,,,,,,,
Premier Door Frame and Hardware,13,PA,12156730700,Not called ,,14,,,,,,,,,,,,,
Advanced Door Service,13,PA,12152014554,Not called ,,14,,,,,,,,,,,,,
Eastern Door Service,13,PA,16098812022,Not called ,,14,,,,,,,,,,,,,
Speedy Commercial garage doors,13,PA,16094693992,Not called ,,14,,,,,,,,,,,,,
Franklin,13,PA,18144328206,Not called ,,14,,,,,,,,,,,,,
K Hoffman Door LLC,13,PA,18144328206,Not called ,,14,,,,,,,,,,,,,
Raynor Overhead Door Sales,13,PA,18455720026,Not called ,,14,,,,,,,,,,,,,
Uskoski Garage Doors,13,WI,17156828548,Not called ,,14,,,,,,,,,,,,,
Rosser Overhead Door,13,MI,12487161460,Not called ,,14,,,,,,,,,,,,,
Pro Keystone Garage Door Company,12,PA,16109219588,Not called ,,14,,,,,,,,,,,,,
Coast Valley Door & Window,12,PA,16109368570,Not called ,,14,,,,,,,,,,,,,
Mark Bryner Doors,12,PA,17244381920,Not called ,,14,,,,,,,,,,,,,
Garage Doors Unlimited,12,WI,17155120134,Not called ,,14,,,,,,,,,,,,,
Webmarcdoors Wi.,12,WI,16089857110,Not called ,,14,,,,,,,,,,,,,
United Raynor Overhead Door Corp.,12,WI,19207665300,Not called ,,14,,,,,,,,,,,,,
Overhead Door Co of Grand Traverse,12,MI,12312660471,Not called ,,14,,,,,,,,,,,,,
Valley Overhead Doors Andover,12,MN,17633017307,Not called ,,14,,,,,,,,,,,,,
"14 McFadden Rd, Palmer Township, PA 18045",11,PA,18003211130,Not called ,,14,,,,,,,,,,,,,
Russ Whelan Doors & Access Systems,11,PA,12155154434,Not called ,,14,,,,,,,,,,,,,
Secure Door & Hardware,11,PA,16108597865,Not called ,,14,,,,,,,,,,,,,
Masonite,11,PA,18006633667,Not called ,,14,,,,,,,,,,,,,
Sullivan Overhead Doors,11,PA,18454823277,Not called ,,14,,,,,,,,,,,,,
American Door Company of Wausau,11,WI,17152418406,Not called ,,14,,,,,,,,,,,,,
USA Garage Door Service,11,WI,19202802052,Not called ,,14,,,,,,,,,,,,,
"Door Service, Inc.",11,WI,17153947447,Not called ,,14,,,,,,,,,,,,,
Bulldog Garage Doors,11,MI,12315502364,Not called ,,14,,,,,,,,,,,,,
M. C. Overhead Door Inc.,10,PA,18142829242,Not called ,,14,,,,,,,,,,,,,
Overly Door Company,10,PA,17248347300,Not called ,,14,,,,,,,,,,,,,
Sahr Building Supply,10,MI,16162882001,Not called ,,14,,,,,,,,,,,,,
"Ace Property Services, LLC",10,MI,12697670062,Not called ,,14,,,,,,,,,,,,,
Overhead Door Company of Nittany Valley,9,PA,18006770462,Not called ,,14,,,,,,,,,,,,,
Pyle's Garage Doors,9,PA,15705392546,Not called ,,14,,,,,,,,,,,,,
Costello Door & Millwork Co,9,PA,17242280999,Not called ,,14,,,,,,,,,,,,,
"A & B Door Sales & Service, Inc.",9,PA,15706787781,Not called ,,14,,,,,,,,,,,,,
Dennis Miller Doors & Windows,9,PA,17404831989,Not called ,,14,,,,,,,,,,,,,
Doors Unlimited Inc,9,PA,17406354949,Not called ,,14,,,,,,,,,,,,,
MY Tech Garage Door Repair,9,PA,18624274221,Not called ,,14,,,,,,,,,,,,,
Pro Bros Window & Door,9,MI,18102295160,Not called ,,14,,,,,,,,,,,,,
Mauries Door Services Inc,9,MI,16164539285,Not called ,,14,,,,,,,,,,,,,
Che Bar Construction Property Maintenance,9,MI,12692071933,Not called ,,14,,,,,,,,,,,,,
A & C Builders Hardware,9,MI,15867559440,Not called ,,14,,,,,,,,,,,,,
Progressive Doors,8,PA,13305490171,Not called ,,14,,,,,,,,,,,,,
Delaware Valley Overhead Door,8,PA,16102722015,Not called ,,14,,,,,,,,,,,,,
J&J Garage Doors LLC,8,PA,17245629170,Not called ,,14,,,,,,,,,,,,,
Pure Energy Window Company,8,MI,12484466100,Not called ,,14,,,,,,,,,,,,,
Protect Door LLC,8,WI,17156594094,Not called ,,14,,,,,,,,,,,,,
Commercial Door Systems,8,WI,17634949533,Not called ,,14,,,,,,,,,,,,,
"Advantage Door Company, LLC.",8,WI,,Not called ,,14,,,,,,,,,,,,,
"Fraaza Overhead Door, LLC",8,WI,17158516148,Not called ,,14,,,,,,,,,,,,,
American Door & Supply,8,WI,19209970064,Not called ,,14,,,,,,,,,,,,,
VDK Windows and Doors,8,MI,16163200375,Not called ,,14,,,,,,,,,,,,,
Liberty Door Systems,7,PA,12153648834,Not called ,,14,,,,,,,,,,,,,
Beechview Garage Door Co. Inc,7,PA,17242293303,Not called ,,14,,,,,,,,,,,,,
Beham's Garage Doors,7,PA,17245485922,Not called ,,14,,,,,,,,,,,,,
Shirey Overhead Doors Inc.,7,PA,18002274161,Not called ,,14,,,,,,,,,,,,,
Libby's Expert Door Installations,7,PA,15709221602,Not called ,,14,,,,,,,,,,,,,
St. Croix Garage Doors,7,WI,17157234605,Not called ,,14,,,,,,,,,,,,,
Quality Garage Door Service,7,WI,12183900540,Not called ,,14,,,,,,,,,,,,,
kent door & specialty inc,7,MI,16165349691,Not called ,,14,,,,,,,,,,,,,
Quality Hardware Corporation,7,MI,15868800158,Not called ,,14,,,,,,,,,,,,,
Advanced Door Technologies,6,PA,15704210953,Not called ,,14,,,,,,,,,,,,,
Clingerman Doors,6,PA,18147843634,Not called ,,14,,,,,,,,,,,,,
Kal's Overhead Doors Adrian,6,MI,15176737467,Not called ,,14,,,,,,,,,,,,,
Eau Claire Door Co,6,WI,17158341134,Not called ,,14,,,,,,,,,,,,,
Garry's Overhead Doors,6,WI,17156108481,Not called ,,14,,,,,,,,,,,,,
Northwest Door Inc,6,WI,17158321474,Not called ,,14,,,,,,,,,,,,,
Glacier Glass LLC,6,WI,16083550515,Not called ,,14,,,,,,,,,,,,,
Automatic Door Service,6,MI,18002534531,Not called ,,14,,,,,,,,,,,,,
Lemica Doors,6,MI,18008224422,Not called ,,14,,,,,,,,,,,,,
Wise Garage Doors,5,PA,17242280878,Not called ,,14,,,,,,,,,,,,,
Pappy T's Garage Doors & More LLC,5,PA,18142858067,Not called ,,14,,,,,,,,,,,,,
"Premier Overhead Doors, Inc.",5,WI,17153668860,Not called ,,14,,,,,,,,,,,,,
JRs Doors and More LLC,5,WI,17632444380,Not called ,,14,,,,,,,,,,,,,
Empire Door Products,5,MI,17343776817,Not called ,,14,,,,,,,,,,,,,
Wayne Dalton Sales Center,5,MI,17344320411,Not called ,,14,,,,,,,,,,,,,
Tri County Door & Builders,4,PA,17244242700,Not called ,,14,,,,,,,,,,,,,
Elizabeth Overhead Doors Inc,4,PA,14124054906,Not called ,,14,,,,,,,,,,,,,
Meadville Overhead Door Company,4,PA,18145876067,Not called ,,14,,,,,,,,,,,,,
Accurate Door Inc,4,PA,17243278397,Not called ,,14,,,,,,,,,,,,,
Frank & Sons Garages,4,PA,17248603500,Not called ,,14,,,,,,,,,,,,,
"Summit Overhead Doors, Inc",4,PA,18147885059,Not called ,,14,,,,,,,,,,,,,
Allied Door & Maintenance,4,PA,15704548741,Not called ,,14,,,,,,,,,,,,,
MCM Windows and Doors Inc.,4,PA,18147643708,Not called ,,14,,,,,,,,,,,,,
Tecumseh Door & More,4,MI,15174236048,Not called ,,14,,,,,,,,,,,,,
Security Overhead Door Inc,4,WI,18003803090,Not called ,,14,,,,,,,,,,,,,
Expi-Door Systems Inc,4,WI,19203934028,Not called ,,14,,,,,,,,,,,,,
Premiere Door & Supply,4,WI,19204970640,Not called ,,14,,,,,,,,,,,,,
Expi-Door Systems Inc.,4,WI,19203934028,Not called ,,14,,,,,,,,,,,,,
Eastern Door Controls,3,PA,17248636136,Not called ,,14,,,,,,,,,,,,,
SRE Doors & Hardware Inc,3,PA,13304822646,Not called ,,14,,,,,,,,,,,,,
Window & Door Sales,3,PA,(570) 725-2559,Not called ,,14,,,,,,,,,,,,,
Garage Doors By Joe Kishel Inc.,3,PA,15704996366,Not called ,,14,,,,,,,,,,,,,
Allegany Door & Hardware Inc.,3,PA,13017398900,Not called ,,14,,,,,,,,,,,,,
Dawson Doors,3,PA,17166643811,Not called ,,14,,,,,,,,,,,,,
Omega Door Company,3,PA,13307471365,Not called ,,14,,,,,,,,,,,,,
Lakeland Door & Services Inc,3,WI,19208633832,Not called ,,14,,,,,,,,,,,,,
Cisco Reliable Door & Gate,3,MI,12317222505,Not called ,,14,,,,,,,,,,,,,
Elite Garage Door Repair,2,PA,17176170384,Did not pick up ,,01/13/00,,,,,,,,,,,,,
Lezzer Commercial Doors,2,PA,17177350650,Did not pick up ,,01/13/00,,,,,,,,,,,,,
York Dock and Door LLC,2,PA,17178148209,Did not pick up ,,01/13/00,,,,,,,,,,,,,
Alpine Garage Door Repair Erie Co.,2,PA,(217) 279-1429,,,14,,,,,,,,,,,,,
Tri State Door of Pa,2,PA,18144761066,,,14,,,,,,,,,,,,,
Central Contractors Supply Co,2,PA,18145357761,,,14,,,,,,,,,,,,,
S & A Pre Hung Doors,2,PA,17173692158,,,14,,,,,,,,,,,,,
Door Security Solutions Tri State,2,PA,15706933323,,,14,,,,,,,,,,,,,
Access Commercial Door,2,PA,19087259530,,,14,,,,,,,,,,,,,
GenDoors,2,PA,19736761300,,,14,,,,,,,,,,,,,
ROCKWOOD OVERHEAD DOORS,2,PA,16073682480,,,14,,,,,,,,,,,,,
J C Overhead Door,2,PA,15708886600,,,14,,,,,,,,,,,,,
Leakway Door Company,2,PA,17178718991,,,14,,,,,,,,,,,,,
Tomlinson Garage Doors,2,MI,19898355904,,,14,,,,,,,,,,,,,
Northwest Commercial Door and Frame,2,MI,12318831834,,,14,,,,,,,,,,,,,
Grand Rapids Glass & Door - Hollow Metal Division,2,MI,16165327393,,,14,,,,,,,,,,,,,
Complete Commercial Door And Hardware,2,MI,15867415627,,,14,,,,,,,,,,,,,
Bommerscheim Window & Door Llc,2,MI,12696922242,,,14,,,,,,,,,,,,,
Amarr,2,MI,15867951832,,,14,,,,,,,,,,,,,
Great Lakes Dock and door,2,MI,16144919720,,,14,,,,,,,,,,,,,
"INDUSTRIAL DOOR & WEATHERSTRIP CO., INC.",2,MI,15862649467,,,14,,,,,,,,,,,,,
"J & K Door and Hardware Installation, Inc.",1,PA,14124699747,,,14,,,,,,,,,,,,,
Acme Door & Hardware Inc,1,PA,17244244114,,,14,,,,,,,,,,,,,
Strek-O Doors LLC,1,WI,17152232376,,,14,,,,,,,,,,,,,
LaForce,1,WI,18002368858,,,14,,,,,,,,,,,,,
Reliable Door & Gate,1,MI,16162497149,,,14,,,,,,,,,,,,,
Total Openings Inc.,1,MI,13133698500,,,14,,,,,,,,,,,,,
Premier Door & Security Products,1,MI,13135211122,Did not reach the Owner ,02/03/26,02/17/26,,1,Leonard,,,,,,,,,,
Warren Door Co,1,MI,15862684197,Number does that exist,02/04/26,02/18/26,,1,Leonard,,,,,,,,,,
ABC Door,1,MI,15867455066,Did not pick up ,02/05/26,02/19/26,,1,Leonard,,,,,,,,,,
TCW Building Maintenance,0,PA,16102856595,Did not pick up ,02/06/26,02/20/26,,1,Leonard,,,,,,,,,,
Whitehall door ,0,PA,16102611800,Did not pick up ,02/07/26,02/21/26,Steve,1,Leonard,,,,,,,,,,
Allegheny Door Enterprises,0,PA,17242403702,Owner is not interested ,02/08/26,02/22/26,Joshua,1,Leonard,,,,,,,,,,
Liberty Door Service,0,PA,14125259643,Did not pick up ,02/09/26,02/23/26,,1,Leonard,,,,,,,,,,
Steel Building Accessories,0,PA,18667001136,Not a garage door service company,02/10/26,02/24/26,,1,Leonard,,,,,,,,,,
Fimbel Door Corporation,0,PA,15709292929,Did not pick up ,02/11/26,02/25/26,,1,Leonard,,,,,,,,,,
Cleveland Commercial Door,0,PA,14402053667,Did not pick up ,02/12/26,02/26/26,,1,Leonard,,,,,,,,,,
Doors N More,0,PA,17246992190,Did not pick up ,02/13/26,02/27/26,,1,Leonard,,,,,,,,,,
Doors LLC | Powered by Dynamic,0,PA,14122214045,Intro-meetig wanted,02/14/26,02/28/26,,1,Leonard,He is interested in a couple of months ,,,,,,,,,
Cochran Glass & Door L Lc,0,MI,12692076991,Did not pick up ,02/15/26,03/01/26,Jeremy,1,Leonard,,,,,,,,,,
D & L Door,0,MI,12692233530,Did not pick up ,02/16/26,03/02/26,Dennis,1,Leonard,,,,,,,,,,
Third Coast Garage Door,0,MI,12693460803,Did not pick up ,02/17/26,03/03/26,,1,Leonard,,,,,,,,,,
Birmingham Door Company-The Original,0,MI,12488086561,Did not pick up ,02/18/26,03/04/26,,1,Leonard,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
SW Garage D oor Offices,0,MN,16514099050,Did not reach the Owner ,02/20/26,03/06/26,,1,Leonard,,,,,,,,,,
Garage Door Repair The Home Service,0,MN,18884465630,Did not pick up ,02/21/26,03/07/26,,1,Leonard,,,,,,,,,,
Petersen's Door Service LLC,50,MN,12188798911,Did not pick up ,02/22/26,03/08/26,,1,Leonard,,,,,,,,,,
Victory Door Systems,25,MN,13202822044,Did not pick up ,02/23/26,03/09/26,Tom,1,Leonard,,,,,,,,,,
Augusta Garage Door,103,MN,13202551850,Did not pick up ,02/24/26,03/10/26,,1,Leonard,AugustaGaragedoormn@gmail.com (send an email to them about us) ,,,,,,,,,
Hegle Garage Door,12,MN,13209633934,Did not reach the Owner ,02/25/26,03/11/26,,1,Leonard,,,,,,,,,,
Twin River Door Sales,5,MN,13209801805,Did not reach the Owner ,02/26/26,03/12/26,,1,Leonard,,,,,,,,,,
Lake State Door,5,MN,17633335250,Number does that exist,02/27/26,03/13/26,,1,Leonard,,,,,,,,,,
"Eagle Garage Door Repair, Sales & Installation",204,MN,17637532032,Did not pick up ,02/28/26,03/14/26,,1,Leonard,,,,,,,,,,
Flecks Garage Door LLC,22,MN,16125017309,Did not pick up ,03/01/26,03/15/26,,1,Leonard,,,,,,,,,,
Bitzer Garage Doors LLC,13,MN,17632955366,Did not pick up ,03/02/26,03/16/26,Scott,1,Leonard,,,,,,,,,,
Isanti Garage Doors,23,MN,17634448602,Did not pick up ,03/03/26,03/17/26,,1,Leonard,,,,,,,,,,
Lake Country Door,28,MN,17637862529,Intro-meetig wanted,03/04/26,03/18/26,Nick (friend of Dale from Berry's Garage),1,Leonard, He wants an intro meeting the 20th ,,,,,,,,,
Barnum Gate Services Inc,33,MN,16519821552,Did not reach the Owner ,03/05/26,03/19/26,,1,Leonard,Call back on Monday,,,,,,,,,
Best Forest Lake Garage Door Service,33,MN,16512730100,Did not pick up ,03/06/26,03/20/26,,1,Leonard,,,,,,,,,,
"RF Garage Door, LLC",7,MN,16513991192,Did not pick up ,03/05/26,03/19/26,,1,Leonard,,,,,,,,,,
Bear's Overhead Doors,477,MN,16519235923,Number does that exist,03/05/26,03/19/26,,1,Leonard,,,,,,,,,,
Victory Door Systems,25,MN,13202822044,Did not pick up ,03/05/26,03/19/26,,1,Leonard,,,,,,,,,,
Bitzer Garage Doors LLC,13,MN,17632955366,Did not reach the Owner ,03/05/26,03/19/26,,1,Leonard,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Berry's Garage,129,MN,16514624173,Not a garage door service company,03/05/26,03/19/26,,1,Leonard,,,,,,,,,,
Central MN Door Service,31,MN,13206324880,Did not pick up ,03/05/26,03/19/26,,1,Leonard,,,,,,,,,,
Best Belle Plaine Garage Door Repair,31,MN,19522303900,Did not pick up ,03/05/26,03/19/26,,1,Leonard,,,,,,,,,,
Reliable Door Service LLC,30,MN,13202678033,Did not pick up ,03/05/26,03/19/26,Troy or Roy,1,Leonard,,,,,,,,,,
Heartland Door Sales Inc,10,MN,13203637423,Did not reach the Owner ,03/05/26,03/19/26,,1,Leonard,,,,,,,,,,
American Door Works,93,MN,13202531310,Did not reach the Owner ,03/05/26,03/19/26,Garry,1,Leonard,,,,,,,,,,
Garage Door Store,66,MN,13202517000,Already aquired ,03/05/26,03/19/26,,1,Leonard,,,,,,,,,,
Augusta Garage Door,103,MN,13202551850,Did not pick up ,03/05/26,03/19/26,,1,Leonard,,,,,,,,,,
CMGD LLC- garage door repair,494,MN,16126019236,Owner is not interested ,03/05/26,03/19/26,,1,Leonard,,,,,,,,,,
Superior Garage Door Repair - St. Cloud,127,MN,(320) 400-0369,Number does not work ,03/05/26,03/19/26,,1,Leonard,,,,,,,,,,
Bear's Overhead Doors,477,MN,16519235923,Did not reach the Owner ,03/05/26,03/19/26,,1,Leonard,Call the owner in the morning ,,,,,,,,,
Cannon Valley Garage Doors,51,MN,16512450311,Did not pick up ,03/05/26,03/19/26,,1,Leonard,,,,,,,,,,
Schweiss Doors,43,MN,18662643918,Intro-meetig wanted,03/05/26,03/19/26,Mike,1,Leonard,5074268273 ( wanted cover letter),,,,,,,,,
Premier Door Co. Next Generation Hydraulic + Electric,14,MN,13205622222,Did not pick up ,03/05/26,03/19/26,,1,Leonard,,,,,,,,,,
Door Power Inc,255,MN,19524673199,Owner is not interested ,03/04/26,03/18/26,Chad,1,Leonard,,,,,,,,,,
"Crown Doors, LLC",7,MN,13202382616,Owner is not interested ,03/04/26,03/18/26,NF,1,Leonard,,,,,,,,,,
Reliable Garage Door,625,MN,16122550536,Did not reach the Owner ,03/04/26,03/18/26,NF,1,Leonard,,,,,,,,,,
LH Garage Doors,27,MN,17636579259,Owner is not interested ,03/04/26,03/18/26,NF,1,Leonard,,,,,,,,,,
JLR Garage Door,368,MN,17639726311,Intro-meetig wanted,03/04/26,03/18/26,NF,1,Leonard,BSolvie@hotmail.com,,,,,,,,,
Excelsior Garage Door Service,38,MN,19529006700,Did not reach the Owner ,03/04/26,03/18/26,NF,1,Leonard,,,,,,,,,,
Ultimate Garage Door Service - Chaska,79,MN,16124445070,Did not reach the Owner ,03/04/26,03/18/26,NF,1,Leonard,,,,,,,,,,
Best Belle Plaine Garage Door Repair,31,MN,19522303900,Did not reach the Owner ,03/04/26,03/18/26,NF,1,Leonard,,,,,,,,,,
Thompson's Garage Door and Openers,37,MN,15072811349,Did not pick up ,03/01/26,03/15/26,Dustin and Kayla Thompson,1,Leonard,,,,,,,,,,
Quality Overhead Door,175,MN,15072812772,Did not pick up ,03/01/26,03/15/26,Randy Pehling,1,Leonard,,,,,,,,,,
Superior Garage Door Repair - Rochester,75,MN,15854884898,Did not reach the Owner ,03/01/26,03/15/26,Ron Dahari,1,Leonard,,,,,,,,,,
Aladdin Doors Inc,465,MN,16123143040,Did not reach the Owner ,03/11/26,,Mahdi,1,Leonard,,,,,,,,,,
